task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
145	b6/2f45fc	8042310	SCATACPIPE:DOWNSTREAM_ARCHR:PREP_FRAGMENT (5)	CACHED	0	2022-06-17 21:21:46.699	14m 25s	13m 50s	112.7%	10 MB	52.5 MB	25.1 GB	25 GB
147	f7/b9ce64	8042281	SCATACPIPE:DOWNSTREAM_ARCHR:PREP_FRAGMENT (3)	CACHED	0	2022-06-17 20:22:46.673	7m 45s	7m 21s	112.4%	10 MB	52.5 MB	13.5 GB	13.5 GB
143	27/c151de	8042209	SCATACPIPE:DOWNSTREAM_ARCHR:PREP_FRAGMENT (2)	CACHED	0	2022-06-17 19:29:51.532	2m 45s	1m 48s	109.4%	10 MB	52.5 MB	3.5 GB	3.5 GB
149	76/6097c1	8042199	SCATACPIPE:DOWNSTREAM_ARCHR:PREP_FRAGMENT (1)	CACHED	0	2022-06-17 19:11:26.498	1m 20s	55.1s	107.0%	10 MB	52.5 MB	2 GB	1.9 GB
146	9b/d69b2f	8042312	SCATACPIPE:DOWNSTREAM_ARCHR:PREP_FRAGMENT (6)	CACHED	0	2022-06-17 21:47:16.759	15m 30s	15m 23s	112.9%	10 MB	52.5 MB	27.5 GB	27.5 GB
150	67/534f5b	8042311	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CREATE_ARROWFILES_ANNOTATION (5)	CACHED	0	2022-06-17 21:36:11.733	25m 5s	24m 45s	98.5%	3.3 GB	4.2 GB	12.3 GB	6.3 GB
151	f2/dfe52d	8042290	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CREATE_ARROWFILES_ANNOTATION (3)	CACHED	0	2022-06-17 20:30:31.635	18m 20s	17m 49s	96.4%	2.3 GB	3.2 GB	6.9 GB	3.3 GB
153	6b/3436ef	8042200	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CREATE_ARROWFILES_ANNOTATION (1)	CACHED	0	2022-06-17 19:13:14.629	11m 27s	11m 1s	94.3%	1.8 GB	2.7 GB	1.6 GB	496.1 MB
148	c7/d80da9	8042291	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CREATE_ARROWFILES_ANNOTATION (4)	CACHED	0	2022-06-17 20:31:11.629	20m 20s	19m 59s	95.1%	2.5 GB	3.3 GB	7.1 GB	3.5 GB
154	37/9caf44	8042314	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CREATE_ARROWFILES_ANNOTATION (6)	CACHED	0	2022-06-17 22:02:46.804	27m	26m 45s	96.6%	3.4 GB	4.3 GB	13.3 GB	7 GB
152	22/14c006	8042210	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CREATE_ARROWFILES_ANNOTATION (2)	CACHED	0	2022-06-17 19:32:36.575	12m 30s	11m 38s	96.5%	1.7 GB	2.7 GB	2.3 GB	873.9 MB
158	5b/964516	8042302	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_ADD_DOUBLETSCORES (4)	CACHED	0	2022-06-17 20:51:31.780	4m 20s	3m 45s	155.6%	14.6 GB	22.4 GB	3 GB	1.7 GB
155	ba/d44f16	8042313	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_ADD_DOUBLETSCORES (5)	CACHED	0	2022-06-17 22:01:16.918	5m 10s	4m 31s	146.3%	18.2 GB	25 GB	5.4 GB	3 GB
159	47/9d53c1	8042317	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_ADD_DOUBLETSCORES (6)	CACHED	0	2022-06-17 22:29:46.817	6m 15s	6m	139.6%	19.9 GB	28.3 GB	5.9 GB	3.3 GB
156	d3/8d75b4	8042301	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_ADD_DOUBLETSCORES (3)	CACHED	0	2022-06-17 20:48:51.711	3m 15s	3m 7s	150.5%	15.5 GB	24 GB	2.9 GB	1.6 GB
